state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
TX,all-surveys,White,Wouldn't vote,21,190,0.11052631578947368
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,20,39,0.5128205128205128
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian, Other",Donald J. Trump,20,44,0.45454545454545453
0_ALL_STATES,all-surveys,"Native American / American Indian, Other, White",Don't know,20,203,0.09852216748768473
0_ALL_STATES,all-surveys,Native Hawaiian or Pacific Islander,Wouldn't vote,20,199,0.10050251256281408
0_ALL_STATES,all-surveys,White,"Donald J. Trump, Third-Party Candidate",20,13290,0.0015048908954100827
AR,all-surveys,White,Don't know,20,524,0.03816793893129771
CA,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,20,57,0.3508771929824561
MI,all-surveys,Other,Donald J. Trump,20,42,0.47619047619047616
MI,all-surveys,White,Joe Biden,20,187,0.10695187165775401
NC,all-surveys,"Black or African American, Native American / American Indian",Joe Biden,20,92,0.21739130434782608
NE,all-surveys,Black or African American,Wouldn't vote,20,107,0.18691588785046728
NE,all-surveys,Hispanic or Latino,Joe Biden,20,73,0.273972602739726
OH,all-surveys,Hispanic or Latino,Donald J. Trump,20,40,0.5
OH,all-surveys,Other,Wouldn't vote,20,109,0.1834862385321101
OR,all-surveys,Hispanic or Latino,Donald J. Trump,20,54,0.37037037037037035
PA,all-surveys,Other,Donald J. Trump,20,39,0.5128205128205128
0_ALL_STATES,all-surveys,Asian American,Don't know,19,225,0.08444444444444445
0_ALL_STATES,all-surveys,Black or African American,"Don't know, Donald J. Trump",19,6391,0.0029729306837740573
AR,all-surveys,Other,Donald J. Trump,19,36,0.5277777777777778
AZ,all-surveys,"Hispanic or Latino, White",Third-Party Candidate,19,134,0.1417910447761194
CA,all-surveys,"Hispanic or Latino, Other",Third-Party Candidate,19,114,0.16666666666666666
CA,all-surveys,"Native American / American Indian, White",Third-Party Candidate,19,106,0.1792452830188679
IL,all-surveys,Black or African American,Third-Party Candidate,19,307,0.06188925081433225
MA,all-surveys,Hispanic or Latino,Joe Biden,19,82,0.23170731707317074
NE,all-surveys,Native American / American Indian,Donald J. Trump,19,41,0.4634146341463415
SC,all-surveys,"Native American / American Indian, White",Donald J. Trump,19,35,0.5428571428571428
TX,all-surveys,"Hispanic or Latino, White",Donald J. Trump,19,32,0.59375
WA,all-surveys,Black or African American,Third-Party Candidate,19,164,0.11585365853658537
0_ALL_STATES,all-surveys,"Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",Third-Party Candidate,18,116,0.15517241379310345
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino",Third-Party Candidate,18,240,0.075
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino, Other",Donald J. Trump,18,43,0.4186046511627907
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, White",Third-Party Candidate,18,100,0.18
0_ALL_STATES,all-surveys,"Black or African American, Other, White",Donald J. Trump,18,53,0.33962264150943394
0_ALL_STATES,all-surveys,Native Hawaiian or Pacific Islander,Don't know,18,199,0.09045226130653267
0_ALL_STATES,all-surveys,White,"Don't know, Donald J. Trump",18,13290,0.0013544018058690745
AL,all-surveys,"Native American / American Indian, White",Donald J. Trump,18,27,0.6666666666666666
AZ,all-surveys,"Hispanic or Latino, Native American / American Indian",Joe Biden,18,105,0.17142857142857143
CA,all-surveys,"Black or African American, White",Donald J. Trump,18,40,0.45
CA,all-surveys,"Hispanic or Latino, Native American / American Indian",Wouldn't vote,18,113,0.1592920353982301
CA,all-surveys,Middle Eastern or Arab,Donald J. Trump,18,29,0.6206896551724138
MA,all-surveys,Black or African American,Joe Biden,18,80,0.225
NC,all-surveys,"Black or African American, Other",Don't know,18,113,0.1592920353982301
NC,all-surveys,"Native American / American Indian, Other, White",Donald J. Trump,18,29,0.6206896551724138
NY,all-surveys,Other,Donald J. Trump,18,25,0.72
NY,all-surveys,White,Joe Biden,18,168,0.10714285714285714
NY,all-surveys,White,Third-Party Candidate,18,168,0.10714285714285714
OK,all-surveys,Hispanic or Latino,Joe Biden,18,64,0.28125
OK,all-surveys,Native American / American Indian,Third-Party Candidate,18,119,0.15126050420168066
SC,all-surveys,Native American / American Indian,Donald J. Trump,18,25,0.72
WA,all-surveys,Other,Third-Party Candidate,18,125,0.144
WI,all-surveys,White,Donald J. Trump,18,43,0.4186046511627907
0_ALL_STATES,all-surveys,"Asian American, Black or African American",Donald J. Trump,17,33,0.5151515151515151
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, Other, White",Donald J. Trump,17,40,0.425
0_ALL_STATES,all-surveys,"Black or African American, White",Don't know,17,260,0.06538461538461539
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Wouldn't vote,17,166,0.10240963855421686
AL,all-surveys,Other,Donald J. Trump,17,34,0.5
CA,all-surveys,Native Hawaiian or Pacific Islander,Joe Biden,17,64,0.265625
IL,all-surveys,Black or African American,Wouldn't vote,17,307,0.05537459283387622
KY,all-surveys,"Other, White",Donald J. Trump,17,26,0.6538461538461539
MA,all-surveys,White,Wouldn't vote,17,156,0.10897435897435898
MT,all-surveys,White,Third-Party Candidate,17,139,0.1223021582733813
NY,all-surveys,Black or African American,Don't know,17,126,0.1349206349206349
OK,all-surveys,"Native American / American Indian, White",Third-Party Candidate,17,138,0.12318840579710146
TX,all-surveys,Hispanic or Latino,Don't know,17,154,0.11038961038961038
0_ALL_STATES,all-surveys,"Asian American, Other",Donald J. Trump,16,33,0.48484848484848486
0_ALL_STATES,all-surveys,White,"Don't know, Wouldn't vote",16,13290,0.0012039127163280662
AR,all-surveys,Native American / American Indian,Donald J. Trump,16,24,0.6666666666666666
AZ,all-surveys,Native Hawaiian or Pacific Islander,Donald J. Trump,16,41,0.3902439024390244
CA,all-surveys,"Black or African American, Native American / American Indian",Donald J. Trump,16,40,0.4
CA,all-surveys,"Hispanic or Latino, Native American / American Indian",Don't know,16,113,0.1415929203539823
CA,all-surveys,"Other, White",Joe Biden,16,88,0.18181818181818182
CO,all-surveys,White,Joe Biden,16,162,0.09876543209876543
CO,all-surveys,White,Wouldn't vote,16,162,0.09876543209876543
MI,all-surveys,White,Third-Party Candidate,16,187,0.0855614973262032
NC,all-surveys,Hispanic or Latino,Third-Party Candidate,16,169,0.09467455621301775
NH,all-surveys,White,Third-Party Candidate,16,85,0.18823529411764706
NJ,all-surveys,White,Donald J. Trump,16,30,0.5333333333333333
OK,all-surveys,"Native American / American Indian, White",Wouldn't vote,16,138,0.11594202898550725
OR,all-surveys,Hispanic or Latino,Joe Biden,16,54,0.2962962962962963
PA,all-surveys,"Native American / American Indian, White",Donald J. Trump,16,20,0.8
VA,all-surveys,Black or African American,Joe Biden,16,99,0.16161616161616163
WA,all-surveys,Hispanic or Latino,Wouldn't vote,16,168,0.09523809523809523
WA,all-surveys,"Hispanic or Latino, White",Donald J. Trump,16,35,0.45714285714285713
WA,all-surveys,Native American / American Indian,Wouldn't vote,16,107,0.14953271028037382
0_ALL_STATES,all-surveys,"Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",Joe Biden,15,116,0.12931034482758622
0_ALL_STATES,all-surveys,"Black or African American, Middle Eastern or Arab",Donald J. Trump,15,25,0.6
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian, Other, White",Donald J. Trump,15,45,0.3333333333333333
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other, White",Wouldn't vote,15,87,0.1724137931034483
0_ALL_STATES,all-surveys,Middle Eastern or Arab,Third-Party Candidate,15,105,0.14285714285714285
AZ,all-surveys,"Hispanic or Latino, Native American / American Indian",Don't know,15,105,0.14285714285714285
AZ,all-surveys,"Hispanic or Latino, Native American / American Indian",Third-Party Candidate,15,105,0.14285714285714285
AZ,all-surveys,"Hispanic or Latino, Native American / American Indian",Wouldn't vote,15,105,0.14285714285714285
AZ,all-surveys,"Hispanic or Latino, Other",Donald J. Trump,15,40,0.375
AZ,all-surveys,Other,Don't know,15,238,0.06302521008403361
CA,all-surveys,Asian American,Third-Party Candidate,15,103,0.14563106796116504
CA,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Third-Party Candidate,15,57,0.2631578947368421
CA,all-surveys,"Hispanic or Latino, Other",Don't know,15,114,0.13157894736842105
CA,all-surveys,"Other, White",Third-Party Candidate,15,88,0.17045454545454544
CO,all-surveys,Black or African American,Donald J. Trump,15,31,0.4838709677419355
GA,all-surveys,Black or African American,Wouldn't vote,15,139,0.1079136690647482
NE,all-surveys,White,Don't know,15,251,0.05976095617529881
NY,all-surveys,Black or African American,Wouldn't vote,15,126,0.11904761904761904
OR,all-surveys,White,Don't know,15,309,0.04854368932038835
PA,all-surveys,Black or African American,Don't know,15,158,0.0949367088607595
PA,all-surveys,White,Don't know,15,322,0.046583850931677016
VA,all-surveys,Black or African American,Don't know,15,99,0.15151515151515152
VA,all-surveys,White,Wouldn't vote,15,146,0.10273972602739725
WA,all-surveys,Hispanic or Latino,Don't know,15,168,0.08928571428571429
WA,all-surveys,Native American / American Indian,Joe Biden,15,107,0.14018691588785046
WV,all-surveys,Native American / American Indian,Donald J. Trump,15,18,0.8333333333333334
0_ALL_STATES,all-surveys,Black or African American,"Donald J. Trump, Joe Biden",14,6391,0.002190580503833516
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, White",Wouldn't vote,14,100,0.14
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native Hawaiian or Pacific Islander",Donald J. Trump,14,35,0.4
0_ALL_STATES,all-surveys,"Native American / American Indian, Native Hawaiian or Pacific Islander",Donald J. Trump,14,25,0.56
0_ALL_STATES,all-surveys,"Native American / American Indian, Other",Wouldn't vote,14,91,0.15384615384615385
0_ALL_STATES,all-surveys,White,"Donald J. Trump, Joe Biden",14,13290,0.001053423626787058
AZ,all-surveys,"Black or African American, Native American / American Indian",Donald J. Trump,14,36,0.3888888888888889
AZ,all-surveys,"Black or African American, Other",Donald J. Trump,14,39,0.358974358974359
AZ,all-surveys,"Hispanic or Latino, White",Wouldn't vote,14,134,0.1044776119402985
CA,all-surveys,"Native American / American Indian, White",Joe Biden,14,106,0.1320754716981132
CO,all-surveys,White,Third-Party Candidate,14,162,0.08641975308641975
FL,all-surveys,Hispanic or Latino,Donald J. Trump,14,19,0.7368421052631579
GA,all-surveys,Hispanic or Latino,Donald J. Trump,14,26,0.5384615384615384
IL,all-surveys,Hispanic or Latino,Joe Biden,14,95,0.14736842105263157
ME,all-surveys,White,Joe Biden,14,111,0.12612612612612611
ME,all-surveys,White,Third-Party Candidate,14,111,0.12612612612612611
MI,all-surveys,Black or African American,Don't know,14,133,0.10526315789473684
MI,all-surveys,White,Wouldn't vote,14,187,0.0748663101604278
MT,all-surveys,"Native American / American Indian, White",Donald J. Trump,14,18,0.7777777777777778
NC,all-surveys,Asian American,Donald J. Trump,14,28,0.5
NC,all-surveys,Hispanic or Latino,Don't know,14,169,0.08284023668639054
OR,all-surveys,Other,Donald J. Trump,14,27,0.5185185185185185
OR,all-surveys,"Other, White",Donald J. Trump,14,29,0.4827586206896552
PA,all-surveys,Black or African American,Wouldn't vote,14,158,0.08860759493670886
PA,all-surveys,"Black or African American, White",Donald J. Trump,14,21,0.6666666666666666
SD,all-surveys,Native American / American Indian,Don't know,14,144,0.09722222222222222
SD,all-surveys,Other,Donald J. Trump,14,26,0.5384615384615384
WA,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,14,22,0.6363636363636364
WA,all-surveys,Native American / American Indian,Third-Party Candidate,14,107,0.1308411214953271
0_ALL_STATES,all-surveys,Black or African American,"Don't know, Joe Biden",13,6391,0.002034110467845408
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino, Native American / American Indian",Joe Biden,13,75,0.17333333333333334
AZ,all-surveys,"Native American / American Indian, White",Joe Biden,13,56,0.23214285714285715
AZ,all-surveys,"Other, White",Third-Party Candidate,13,69,0.18840579710144928
CA,all-surveys,"Hispanic or Latino, Other, White",Donald J. Trump,13,27,0.48148148148148145
IL,all-surveys,White,Wouldn't vote,13,75,0.17333333333333334
KY,all-surveys,Other,Wouldn't vote,13,58,0.22413793103448276
MA,all-surveys,Other,Donald J. Trump,13,22,0.5909090909090909
MI,all-surveys,Black or African American,Third-Party Candidate,13,133,0.09774436090225563
NC,all-surveys,"Black or African American, Hispanic or Latino",Donald J. Trump,13,30,0.43333333333333335
NC,all-surveys,"Black or African American, Other",Joe Biden,13,113,0.11504424778761062
NC,all-surveys,"Black or African American, Other",Wouldn't vote,13,113,0.11504424778761062
NC,all-surveys,"Black or African American, White",Donald J. Trump,13,26,0.5
NE,all-surveys,Black or African American,Don't know,13,107,0.12149532710280374
NE,all-surveys,Other,Donald J. Trump,13,28,0.4642857142857143
NY,all-surveys,"Native American / American Indian, White",Donald J. Trump,13,18,0.7222222222222222
OH,all-surveys,"Black or African American, Other",Donald J. Trump,13,40,0.325
OR,all-surveys,Native American / American Indian,Donald J. Trump,13,28,0.4642857142857143
SD,all-surveys,Native American / American Indian,Third-Party Candidate,13,144,0.09027777777777778
TX,all-surveys,"Native American / American Indian, White",Donald J. Trump,13,20,0.65
TX,all-surveys,Other,Donald J. Trump,13,28,0.4642857142857143
TX,all-surveys,White,Third-Party Candidate,13,190,0.06842105263157895
VA,all-surveys,White,Third-Party Candidate,13,146,0.08904109589041095
WV,all-surveys,Black or African American,Joe Biden,13,65,0.2
0_ALL_STATES,all-surveys,Black or African American,"Don't know, Wouldn't vote",12,6391,0.0018776404318572994
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, Other, White",Third-Party Candidate,12,40,0.3
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, White",Joe Biden,12,100,0.12
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Don't know,12,166,0.07228915662650602
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other, White",Joe Biden,12,87,0.13793103448275862
0_ALL_STATES,all-surveys,Middle Eastern or Arab,Joe Biden,12,105,0.11428571428571428
0_ALL_STATES,all-surveys,Middle Eastern or Arab,Wouldn't vote,12,105,0.11428571428571428
0_ALL_STATES,all-surveys,"Native American / American Indian, Other",Joe Biden,12,91,0.13186813186813187
0_ALL_STATES,all-surveys,"Native American / American Indian, Other",Third-Party Candidate,12,91,0.13186813186813187
0_ALL_STATES,all-surveys,White,"Don't know, Third-Party Candidate",12,13290,0.0009029345372460496
AL,all-surveys,Native American / American Indian,Donald J. Trump,12,15,0.8
AR,all-surveys,"Other, White",Donald J. Trump,12,16,0.75
AZ,all-surveys,"Black or African American, Native American / American Indian",Joe Biden,12,36,0.3333333333333333
AZ,all-surveys,"Black or African American, White",Joe Biden,12,29,0.41379310344827586
AZ,all-surveys,"Hispanic or Latino, Other",Joe Biden,12,40,0.3
CA,all-surveys,Asian American,Don't know,12,103,0.11650485436893204
CA,all-surveys,"Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",Donald J. Trump,12,23,0.5217391304347826
CO,all-surveys,Hispanic or Latino,Don't know,12,98,0.12244897959183673
CO,all-surveys,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,12,23,0.5217391304347826
FL,all-surveys,Black or African American,Donald J. Trump,12,30,0.4
IL,all-surveys,"Black or African American, Other",Donald J. Trump,12,19,0.631578947368421
KY,all-surveys,Native American / American Indian,Donald J. Trump,12,20,0.6
MA,all-surveys,Black or African American,Wouldn't vote,12,80,0.15
MA,all-surveys,White,Joe Biden,12,156,0.07692307692307693
MA,all-surveys,White,Third-Party Candidate,12,156,0.07692307692307693
ME,all-surveys,"Native American / American Indian, White",Donald J. Trump,12,19,0.631578947368421
MI,all-surveys,Black or African American,Wouldn't vote,12,133,0.09022556390977443
MI,all-surveys,"Native American / American Indian, White",Donald J. Trump,12,17,0.7058823529411765
NC,all-surveys,"Black or African American, Native American / American Indian",Don't know,12,92,0.13043478260869565
NC,all-surveys,"Black or African American, Native American / American Indian",Third-Party Candidate,12,92,0.13043478260869565
NC,all-surveys,"Black or African American, Native American / American Indian, Other",Donald J. Trump,12,22,0.5454545454545454
NE,all-surveys,Black or African American,Third-Party Candidate,12,107,0.11214953271028037
NY,all-surveys,Hispanic or Latino,Joe Biden,12,56,0.21428571428571427
OH,all-surveys,"Black or African American, Native American / American Indian",Donald J. Trump,12,29,0.41379310344827586
OH,all-surveys,Other,Don't know,12,109,0.11009174311926606
OK,all-surveys,Black or African American,Third-Party Candidate,12,138,0.08695652173913043
OR,all-surveys,Black or African American,Donald J. Trump,12,32,0.375
PA,all-surveys,"Black or African American, Other",Donald J. Trump,12,22,0.5454545454545454
TX,all-surveys,Hispanic or Latino,Wouldn't vote,12,154,0.07792207792207792
VA,all-surveys,Black or African American,Wouldn't vote,12,99,0.12121212121212122
VA,all-surveys,Hispanic or Latino,Donald J. Trump,12,19,0.631578947368421
WA,all-surveys,Other,Joe Biden,12,125,0.096
WV,all-surveys,Black or African American,Wouldn't vote,12,65,0.18461538461538463
WV,all-surveys,"Other, White",Donald J. Trump,12,17,0.7058823529411765
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, Other",Third-Party Candidate,11,82,0.13414634146341464
0_ALL_STATES,all-surveys,"Black or African American, Native Hawaiian or Pacific Islander",Don't know,11,39,0.28205128205128205
0_ALL_STATES,all-surveys,"Black or African American, Native Hawaiian or Pacific Islander",Donald J. Trump,11,39,0.28205128205128205
0_ALL_STATES,all-surveys,"Black or African American, Other, White",Joe Biden,11,53,0.20754716981132076
0_ALL_STATES,all-surveys,"Middle Eastern or Arab, Other",Donald J. Trump,11,18,0.6111111111111112
AZ,all-surveys,"Black or African American, Hispanic or Latino",Donald J. Trump,11,31,0.3548387096774194
AZ,all-surveys,"Other, White",Joe Biden,11,69,0.15942028985507245
CA,all-surveys,"Black or African American, Native American / American Indian",Joe Biden,11,40,0.275
CA,all-surveys,"Hispanic or Latino, Other",Wouldn't vote,11,114,0.09649122807017543
CA,all-surveys,"Native American / American Indian, White",Wouldn't vote,11,106,0.10377358490566038
CA,all-surveys,"Other, White",Wouldn't vote,11,88,0.125
CO,all-surveys,Hispanic or Latino,Joe Biden,11,98,0.11224489795918367
CO,all-surveys,Other,Donald J. Trump,11,28,0.39285714285714285
FL,all-surveys,White,Third-Party Candidate,11,93,0.11827956989247312
GA,all-surveys,Other,Donald J. Trump,11,17,0.6470588235294118
IN,all-surveys,Black or African American,Donald J. Trump,11,22,0.5
MI,all-surveys,Other,Wouldn't vote,11,42,0.2619047619047619
MT,all-surveys,White,Joe Biden,11,139,0.07913669064748201
NC,all-surveys,Native American / American Indian,Joe Biden,11,141,0.07801418439716312
OH,all-surveys,"Black or African American, Other",Wouldn't vote,11,40,0.275
OH,all-surveys,"Hispanic or Latino, White",Donald J. Trump,11,26,0.4230769230769231
OH,all-surveys,"Native American / American Indian, White",Third-Party Candidate,11,68,0.16176470588235295
OH,all-surveys,Other,Joe Biden,11,109,0.10091743119266056
OK,all-surveys,Other,Third-Party Candidate,11,62,0.1774193548387097
OK,all-surveys,Other,Wouldn't vote,11,62,0.1774193548387097
PA,all-surveys,Black or African American,Third-Party Candidate,11,158,0.06962025316455696
SD,all-surveys,Black or African American,Donald J. Trump,11,24,0.4583333333333333
TX,all-surveys,Black or African American,Don't know,11,160,0.06875
WA,all-surveys,Black or African American,Don't know,11,164,0.06707317073170732
WI,all-surveys,Black or African American,Donald J. Trump,11,23,0.4782608695652174
0_ALL_STATES,2024-001,White,Donald J. Trump,8297,13450,0.6168773234200744
0_ALL_STATES,2024-001,Black or African American,Donald J. Trump,2707,6418,0.4217824867559988
0_ALL_STATES,2024-001,Hispanic or Latino,Donald J. Trump,1860,4802,0.3873386089129529
0_ALL_STATES,2024-001,White,Joe Biden,1581,13450,0.11754646840148698
0_ALL_STATES,2024-001,Black or African American,Joe Biden,1493,6418,0.23262698660018696
0_ALL_STATES,2024-001,White,Third-Party Candidate,1387,13450,0.10312267657992565
0_ALL_STATES,2024-001,Hispanic or Latino,Joe Biden,1363,4802,0.28384006663890043
0_ALL_STATES,2024-001,White,Wouldn't vote,1309,13450,0.09732342007434944
NC,2024-001,White,Donald J. Trump,1121,1524,0.7355643044619422
AZ,2024-001,White,Donald J. Trump,1000,2001,0.49975012493753124
0_ALL_STATES,2024-001,Other,Donald J. Trump,936,2048,0.45703125
0_ALL_STATES,2024-001,Black or African American,Don't know,775,6418,0.12075412901215332
0_ALL_STATES,2024-001,Black or African American,Wouldn't vote,742,6418,0.11561234029292615
0_ALL_STATES,2024-001,White,Don't know,726,13450,0.053977695167286247
CA,2024-001,White,Donald J. Trump,721,1355,0.5321033210332103
KY,2024-001,White,Donald J. Trump,691,1038,0.6657032755298651
