state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino, Native American / American Indian",Donald J. Trump,32,67,0.47761194029850745
0_ALL_STATES,2024-001,"Black or African American, White",Wouldn't vote,32,231,0.13852813852813853
AL,2024-001,White,Wouldn't vote,32,334,0.09580838323353294
AZ,2024-001,Native American / American Indian,Third-Party Candidate,32,260,0.12307692307692308
MI,2024-001,Black or African American,Joe Biden,32,136,0.23529411764705882
NC,2024-001,Other,Third-Party Candidate,32,346,0.09248554913294797
NE,2024-001,White,Third-Party Candidate,32,255,0.12549019607843137
SD,2024-001,Native American / American Indian,Wouldn't vote,32,145,0.2206896551724138
WV,2024-001,"Native American / American Indian, White",Donald J. Trump,32,45,0.7111111111111111
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian",Third-Party Candidate,31,371,0.08355795148247978
0_ALL_STATES,2024-001,"Native American / American Indian, Other",Donald J. Trump,31,66,0.4696969696969697
0_ALL_STATES,2024-001,"Native American / American Indian, Other, White",Third-Party Candidate,31,142,0.21830985915492956
CA,2024-001,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,31,104,0.2980769230769231
KY,2024-001,Black or African American,Third-Party Candidate,31,225,0.13777777777777778
KY,2024-001,Other,Donald J. Trump,31,59,0.5254237288135594
NE,2024-001,White,Wouldn't vote,31,255,0.12156862745098039
NJ,2024-001,Black or African American,Donald J. Trump,31,52,0.5961538461538461
0_ALL_STATES,2024-001,"Black or African American, Other",Don't know,30,285,0.10526315789473684
AZ,2024-001,Native American / American Indian,Don't know,30,260,0.11538461538461539
CA,2024-001,"Black or African American, Other",Donald J. Trump,30,50,0.6
CA,2024-001,"Hispanic or Latino, Native American / American Indian",Joe Biden,30,104,0.28846153846153844
CA,2024-001,Native American / American Indian,Third-Party Candidate,30,185,0.16216216216216217
NC,2024-001,"Black or African American, Other",Donald J. Trump,30,59,0.5084745762711864
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian, Other",Donald J. Trump,29,60,0.48333333333333334
AR,2024-001,Black or African American,Don't know,29,207,0.14009661835748793
CA,2024-001,Asian American,Donald J. Trump,29,107,0.27102803738317754
NE,2024-001,Hispanic or Latino,Donald J. Trump,29,74,0.3918918918918919
PA,2024-001,White,Joe Biden,29,324,0.08950617283950617
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino",Wouldn't vote,28,222,0.12612612612612611
0_ALL_STATES,2024-001,White,"Donald J. Trump, Wouldn't vote",28,13450,0.0020817843866171005
AL,2024-001,White,Joe Biden,28,334,0.08383233532934131
OH,2024-001,Native American / American Indian,Donald J. Trump,28,44,0.6363636363636364
OR,2024-001,White,Wouldn't vote,28,317,0.08832807570977919
SC,2024-001,Black or African American,Third-Party Candidate,28,358,0.0782122905027933
0_ALL_STATES,2024-001,Asian American,Wouldn't vote,27,231,0.11688311688311688
0_ALL_STATES,2024-001,"Black or African American, Other",Third-Party Candidate,27,285,0.09473684210526316
0_ALL_STATES,2024-001,"Hispanic or Latino, Other",Joe Biden,27,129,0.20930232558139536
AL,2024-001,Black or African American,Wouldn't vote,27,213,0.1267605633802817
CA,2024-001,"Hispanic or Latino, White",Third-Party Candidate,27,160,0.16875
CA,2024-001,"Other, White",Donald J. Trump,27,63,0.42857142857142855
OK,2024-001,Other,Donald J. Trump,27,71,0.38028169014084506
PA,2024-001,Black or African American,Joe Biden,27,161,0.16770186335403728
WA,2024-001,Black or African American,Wouldn't vote,27,165,0.16363636363636364
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian, White",Joe Biden,26,154,0.16883116883116883
AR,2024-001,Black or African American,Third-Party Candidate,26,207,0.12560386473429952
CA,2024-001,"Hispanic or Latino, Other",Donald J. Trump,26,76,0.34210526315789475
PA,2024-001,White,Third-Party Candidate,26,324,0.08024691358024691
TX,2024-001,Hispanic or Latino,Joe Biden,26,149,0.174496644295302
WA,2024-001,Other,Wouldn't vote,26,139,0.18705035971223022
GA,2024-001,Black or African American,Joe Biden,25,135,0.18518518518518517
NE,2024-001,Black or African American,Joe Biden,25,108,0.23148148148148148
NY,2024-001,Hispanic or Latino,Donald J. Trump,25,54,0.46296296296296297
OK,2024-001,Black or African American,Don't know,25,146,0.17123287671232876
OK,2024-001,Native American / American Indian,Wouldn't vote,25,126,0.1984126984126984
SC,2024-001,Other,Donald J. Trump,25,51,0.49019607843137253
SC,2024-001,White,Joe Biden,25,411,0.06082725060827251
SD,2024-001,White,Third-Party Candidate,25,188,0.13297872340425532
TX,2024-001,Black or African American,Joe Biden,25,157,0.1592356687898089
WV,2024-001,Black or African American,Donald J. Trump,25,68,0.36764705882352944
WV,2024-001,White,Don't know,25,615,0.04065040650406504
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino, White",Donald J. Trump,24,53,0.4528301886792453
0_ALL_STATES,2024-001,Native Hawaiian or Pacific Islander,Third-Party Candidate,24,197,0.1218274111675127
AL,2024-001,Black or African American,Third-Party Candidate,24,213,0.11267605633802817
AL,2024-001,White,Don't know,24,334,0.0718562874251497
AR,2024-001,Black or African American,Wouldn't vote,24,207,0.11594202898550725
AZ,2024-001,"Hispanic or Latino, White",Joe Biden,24,119,0.20168067226890757
CA,2024-001,Native Hawaiian or Pacific Islander,Donald J. Trump,24,63,0.38095238095238093
KY,2024-001,Black or African American,Don't know,24,225,0.10666666666666667
MI,2024-001,Other,Donald J. Trump,24,46,0.5217391304347826
NM,2024-001,Hispanic or Latino,Donald J. Trump,24,50,0.48
NY,2024-001,Black or African American,Joe Biden,24,122,0.19672131147540983
SC,2024-001,White,Don't know,24,411,0.058394160583941604
WA,2024-001,Hispanic or Latino,Third-Party Candidate,24,164,0.14634146341463414
WA,2024-001,Native Hawaiian or Pacific Islander,Donald J. Trump,24,42,0.5714285714285714
0_ALL_STATES,2024-001,"Black or African American, White",Third-Party Candidate,23,231,0.09956709956709957
0_ALL_STATES,2024-001,"Hispanic or Latino, Other, White",Donald J. Trump,23,60,0.38333333333333336
0_ALL_STATES,2024-001,"Middle Eastern or Arab, White",Donald J. Trump,23,35,0.6571428571428571
CA,2024-001,Native American / American Indian,Wouldn't vote,23,185,0.12432432432432433
MT,2024-001,Native American / American Indian,Donald J. Trump,23,41,0.5609756097560976
NC,2024-001,"Other, White",Donald J. Trump,23,36,0.6388888888888888
NE,2024-001,White,Joe Biden,23,255,0.09019607843137255
SD,2024-001,White,Joe Biden,23,188,0.12234042553191489
WA,2024-001,Black or African American,Joe Biden,23,165,0.1393939393939394
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian, White",Third-Party Candidate,22,154,0.14285714285714285
AL,2024-001,Black or African American,Don't know,22,213,0.10328638497652583
CA,2024-001,"Black or African American, Hispanic or Latino",Donald J. Trump,22,54,0.4074074074074074
NC,2024-001,Hispanic or Latino,Wouldn't vote,22,161,0.13664596273291926
NJ,2024-001,Hispanic or Latino,Donald J. Trump,22,38,0.5789473684210527
NM,2024-001,White,Donald J. Trump,22,32,0.6875
NY,2024-001,White,Wouldn't vote,22,170,0.12941176470588237
OH,2024-001,Hispanic or Latino,Donald J. Trump,22,41,0.5365853658536586
OK,2024-001,Hispanic or Latino,Donald J. Trump,22,66,0.3333333333333333
PA,2024-001,Other,Donald J. Trump,22,43,0.5116279069767442
SD,2024-001,White,Wouldn't vote,22,188,0.11702127659574468
0_ALL_STATES,2024-001,"Asian American, White",Donald J. Trump,21,40,0.525
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino",Don't know,21,222,0.0945945945945946
0_ALL_STATES,2024-001,White,"Don't know, Donald J. Trump",21,13450,0.0015613382899628252
0_ALL_STATES,2024-001,White,"Donald J. Trump, Third-Party Candidate",21,13450,0.0015613382899628252
MO,2024-001,Black or African American,Donald J. Trump,21,42,0.5
NE,2024-001,Hispanic or Latino,Joe Biden,21,74,0.28378378378378377
OH,2024-001,Other,Wouldn't vote,21,125,0.168
OK,2024-001,Black or African American,Wouldn't vote,21,146,0.14383561643835616
OR,2024-001,"Native American / American Indian, White",Donald J. Trump,21,39,0.5384615384615384
TX,2024-001,White,Wouldn't vote,21,189,0.1111111111111111
WA,2024-001,Other,Third-Party Candidate,21,139,0.1510791366906475
0_ALL_STATES,2024-001,"Native Hawaiian or Pacific Islander, White",Donald J. Trump,20,35,0.5714285714285714
0_ALL_STATES,2024-001,"Other, White",Don't know,20,359,0.055710306406685235
AR,2024-001,Native American / American Indian,Donald J. Trump,20,28,0.7142857142857143
AR,2024-001,Other,Donald J. Trump,20,39,0.5128205128205128
AZ,2024-001,"Native American / American Indian, White",Donald J. Trump,20,51,0.39215686274509803
CA,2024-001,"Hispanic or Latino, White",Wouldn't vote,20,160,0.125
MA,2024-001,Hispanic or Latino,Joe Biden,20,83,0.24096385542168675
MI,2024-001,White,Joe Biden,20,193,0.10362694300518134
NE,2024-001,Black or African American,Wouldn't vote,20,108,0.18518518518518517
NY,2024-001,White,Third-Party Candidate,20,170,0.11764705882352941
OK,2024-001,"Native American / American Indian, White",Joe Biden,20,119,0.16806722689075632
TX,2024-001,Black or African American,Wouldn't vote,20,157,0.12738853503184713
0_ALL_STATES,2024-001,Black or African American,"Don't know, Donald J. Trump",19,6418,0.002960423808039888
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian, White",Wouldn't vote,19,154,0.12337662337662338
0_ALL_STATES,2024-001,Native Hawaiian or Pacific Islander,Wouldn't vote,19,197,0.09644670050761421
AR,2024-001,White,Don't know,19,524,0.03625954198473282
IL,2024-001,Black or African American,Third-Party Candidate,19,304,0.0625
